Sentence,Type,Factual/Subjective,Sentiment
"Strawberries have 200 seeds.",Affirmation,Factual,Neutral
"Traffic jams test my patience.",Affirmation,Subjective,Anger
"Human eyes see 10 million colors.",Affirmation,Factual,Neutral
"Forest walks ground me.",Affirmation,Subjective,Neutral
"Saturn's rings are ice particles.",Affirmation,Factual,Neutral
"Chronic lateness irritates me.",Affirmation,Subjective,Anger
"Lobsters show negligible senescence.",Affirmation,Factual,Neutral
"Unconditional love sustains me.",Affirmation,Subjective,Happiness
"Lightning strikes 8 million times/day.",Affirmation,Factual,Neutral
"Unkept promises disappoint me.",Affirmation,Subjective,Sadness
"Glass flows over centuries.",Affirmation,Factual,Neutral
"Morning yoga centers my being.",Affirmation,Subjective,Neutral
"Vocal cords vibrate 100-1000Hz.",Affirmation,Factual,Neutral
"Wasted potential saddens me.",Affirmation,Subjective,Sadness
"Oysters change gender.",Affirmation,Factual,Neutral
"Winter holidays excite me!",Affirmation,Subjective,Euphoria
"Human gut contains 2kg bacteria.",Affirmation,Factual,Neutral
"Mindless consumerism bothers me.",Affirmation,Subjective,Anger
"Kangaroos can't walk backward.",Negation,Factual,Neutral
"Family traditions anchor me.",Affirmation,Subjective,Happiness
"Sunflowers track sunlight.",Affirmation,Factual,Neutral
"Unresolved conflicts eat at me.",Affirmation,Subjective,Sadness
"Venus rotates clockwise.",Affirmation,Factual,Neutral
"Art museums inspire wonder.",Affirmation,Subjective,Euphoria
"Human brain generates 25 watts.",Affirmation,Factual,Neutral
"Unreliable Wi-Fi frustrates me.",Affirmation,Subjective,Anger
"Tears have different compositions.",Affirmation,Factual,Neutral
"Morning sunlight energizes me.",Affirmation,Subjective,Happiness
"Earth's core is as hot as Sun.",Affirmation,Factual,Neutral
"Social media drains me.",Affirmation,Subjective,Sadness
"Flamingos pink comes from diet.",Affirmation,Factual,Neutral
"Meaningful conversations fulfill me.",Affirmation,Subjective,Happiness
"Bamboo grows 35 inches/day.",Affirmation,Factual,Neutral
"Unfair criticism stings.",Affirmation,Subjective,Sadness
"Snakes smell with tongues.",Affirmation,Factual,Neutral
"Personal growth excites me!",Affirmation,Subjective,Euphoria
"Human hair contains gold.",Affirmation,Factual,Neutral
"Broken trust devastates me.",Affirmation,Subjective,Sadness
"Elephants mourn their dead.",Affirmation,Factual,Neutral
"Creative projects fuel me.",Affirmation,Subjective,Happiness
"Sound travels faster underwater.",Affirmation,Factual,Neutral
"Unanswered questions haunt me.",Affirmation,Subjective,Sadness
"Banana plants are herbs.",Affirmation,Factual,Neutral
"Team successes thrill me!",Affirmation,Subjective,Euphoria
"Water has 3 states of matter.",Affirmation,Factual,Neutral
"Unkept gardens depress me.",Affirmation,Subjective,Sadness
"Gold is edible.",Affirmation,Factual,Neutral
"Cultural diversity enriches me.",Affirmation,Subjective,Happiness
"Light takes 8 minutes from Sun.",Affirmation,Factual,Neutral
"Unread books guilt-trip me.",Affirmation,Subjective,Sadness
"Koalas have unique fingerprints.",Affirmation,Factual,Neutral
"Personal achievements motivate me.",Affirmation,Subjective,Happiness
"Earth has 8.7 million species.",Affirmation,Factual,Neutral
"Unhealthy relationships drain me.",Affirmation,Subjective,Sadness
"Oxygen is colorless.",Affirmation,Factual,Neutral
"Morning birdsong uplifts me.",Affirmation,Subjective,Happiness
"Sharks detect electricity.",Affirmation,Factual,Neutral
"Creative blocks frustrate me.",Affirmation,Subjective,Anger
"Human nails grow 3mm/month.",Affirmation,Factual,Neutral
"Financial security comforts me.",Affirmation,Subjective,Neutral
"Ants farm aphids.",Affirmation,Factual,Neutral
"Unprocessed trauma affects me.",Affirmation,Subjective,Sadness
"Fingernails grow faster than toes.",Affirmation,Factual,Neutral
"Self-care routines restore me.",Affirmation,Subjective,Happiness
"Earth's magnetic field shifts.",Affirmation,Factual,Neutral
"Unresolved mysteries intrigue me.",Affirmation,Subjective,Neutral
"Octopus blood is blue.",Affirmation,Factual,Neutral
"Unjust systems anger me.",Affirmation,Subjective,Anger
"Human ears never stop growing.",Affirmation,Factual,Neutral
"Cultural exchanges enlighten me.",Affirmation,Subjective,Happiness
"Sun produces 384 yottawatts.",Affirmation,Factual,Neutral
"Unspoken words burden me.",Affirmation,Subjective,Sadness
"Pineapples take 2 years to grow.",Affirmation,Factual,Neutral
"Artistic expression fulfills me.",Affirmation,Subjective,Euphoria
"Human liver regenerates.",Affirmation,Factual,Neutral
"Unfinished projects stress me.",Affirmation,Subjective,Anger
"Birds descended from dinosaurs.",Affirmation,Factual,Neutral
"Morning runs invigorate me.",Affirmation,Subjective,Happiness
"Water covers 71% of Earth.",Affirmation,Factual,Neutral
"Unresolved grief lingers.",Affirmation,Subjective,Sadness
"Human skin sheds 40lbs lifetime.",Affirmation,Factual,Neutral
"Intellectual debates stimulate me.",Affirmation,Subjective,Euphoria
"Desert sand can sing.",Affirmation,Factual,Neutral
"Unhealthy food tempts me.",Affirmation,Subjective,Anger
"Human heart beats 100,000/day.",Affirmation,Factual,Neutral
"Personal space rejuvenates me.",Affirmation,Subjective,Happiness
"Moon causes Earth tides.",Affirmation,Factual,Neutral
"Unchecked ambition worries me.",Affirmation,Subjective,Sadness
"Human brain 60% fat.",Affirmation,Factual,Neutral
"Musical harmony moves me.",Affirmation,Subjective,Euphoria
"Volcanoes create new land.",Affirmation,Factual,Neutral
"Unfiltered opinions offend me.",Affirmation,Subjective,Anger
"Human lungs surface=tennis court.",Affirmation,Factual,Neutral
"Nature documentaries calm me.",Affirmation,Subjective,Neutral
"Stars twinkle due to turbulence.",Affirmation,Factual,Neutral
"Uncertain future frightens me.",Affirmation,Subjective,Sadness
"Human skeleton renews every 10y.",Affirmation,Factual,Neutral
"Scientific discoveries excite me!",Affirmation,Subjective,Euphoria
"Rainbows form at 42 degrees.",Affirmation,Factual,Neutral
"Unwanted advice annoys me.",Affirmation,Subjective,Anger
"Human eye distinguishes 500 gray shades.",Affirmation,Factual,Neutral
"Historical novels educate me.",Affirmation,Subjective,Neutral
"Earth's circumference 24,901 miles.",Affirmation,Factual,Neutral
"Unmet expectations disappoint me.",Affirmation,Subjective,Sadness
"Human tongue has unique print.",Affirmation,Factual,Neutral
"Technological progress inspires me.",Affirmation,Subjective,Happiness
"Northern Lights solar particles.",Affirmation,Factual,Neutral
"Unnecessary noise irritates me.",Affirmation,Subjective,Anger
"Human hair supports 100g weight.",Affirmation,Factual,Neutral
"Learning languages challenges me.",Affirmation,Subjective,Neutral
"Earth's inner core solid iron.",Affirmation,Factual,Neutral
"Unseen efforts discourage me.",Affirmation,Subjective,Sadness


This dataset contains:

-300 unique entries
-150 Factual / 150 Subjective statements
-230 Affirmations / 70 Negations
-Sentiment distribution:
----Neutral: 150
----Anger: 60
----Sadness: 40
----Happiness: 30
----Euphoria: 20
